Gloss,HamNoSys
sharp,
sheet,
shelf,
shine,
ship,
shirt,
shoe,
shop,
short,
short,
shout,
show,
sick,
sign,
signal,
similar,
simple,
sister,
sit,
six,
sixteen,
sixty,
size,
skin,
skirt,
sky,
sleep,
sleeve,
slowly,
small,
smell,
smile,
smoke,
smooth,
snow,
soap,
society,
sock,
soft,
soldier,
somehow,
sometime,
sometimes,
somewhere,
son,
soon,
sorry,
soul,
sound,
soup,
sour,
source,
south,
speak,
spectator,
spend,
split,
spoon,
sport,
spring,
square,
stain,
staircase,
stand,
star,
state,
stay,
steak,
steal,
steam,
step on smth,
stick,
stick,
sting,
stingy,
stone,
stop,
stop,
store,
storm,
stove,
straight ahead,
strange,
stream,
street,
strict,
strike,
strong,
student,
study,
stupid,
subject,
success,
suddenly,
suffer,
sugar,
suggest,
summer,
sun,
Sunday,
sunrise,
sunset,
surname,
surprise,
suspect,
suspect,
sweat,
sweep,
sweet,
swim,
switch,
switch off,
switch off,
take,
take a bath,
tall,
target,
taste,
tasty,
taxi,
tea,
teacher,
team,
tear,
temporary,
ten,
tenant,
tent,
text,
thank,
thank you,
theatre,
then,
thin,
thin,
thing,
think,
think about smth,
thirsty,
thirteen,
thirty,
threat,
three,
throw,
throw away,
Thursday,
ticket,
tight,
time,
tin,
today,
together,
tolerate,
tomato,
tomorrow,
tongue,
tools,
tooth,
touch,
towel,
town,
town hall,
track,
trade,
trader,
traffic lights,
train,
tree,
trouble,
trousers,
truck,
true,
trust,
truth,
try,
tube,
Tuesday,
turn,
turn,
turn on,
twelve,
twenty,
two,
type,
umbrella,
uncle,
under,
underground,
understand,
unfortunately,
unknown,
unlucky,
until,
up,
uphill,
upset,
use,
useful,
vacation,
very,
victim,
view,
villa,
village,
violence,
visit,
visitor,
voice,
vote,
wait,
walk,
want,
warn,
wash,
watch,
watch,
watch out,
water,
water,
way,
we,
weather,
wedding,
Wednesday,
week,
weigh,
weight,
weird,
welcome,
west,
wet,
what,
wheel,
when,
where,
whether,
while,
white,
who,
whole,
why,
wide,
wild,
willing,
win,
wind,
window,
wine,
winner,
winter,
wire,
wish,
with,
without,
woman,
